Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Tokenized_Text,No_Stopwords,Lemmatized_Text,Cleaned_Text
 Just published a new blog post. Check it out!      ,Positive, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,"['just', 'published', 'a', 'new', 'blog', 'post', '.', 'check', 'it', 'out', '!']","['published', 'new', 'blog', 'post', '.', 'check', '!']","['publish', 'new', 'blog', 'post', '.', 'check', '!']","['publish', 'new', 'blow', 'post', 'check']"
 Feeling a bit under the weather today.             ,Negative, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10,"['feeling', 'a', 'bit', 'under', 'the', 'weather', 'today', '.']","['feeling', 'bit', 'weather', 'today', '.']","['feel', 'bit', 'weather', 'today', '.']","['feel', 'bit', 'weather', 'today']"
 Exploring the city's hidden gems.                  ,Positive, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14,"['exploring', 'the', 'city', ""'s"", 'hidden', 'gems', '.']","['exploring', 'city', ""'s"", 'hidden', 'gems', '.']","['explore', 'city', ""'s"", 'hidden', 'gem', '.']","['explore', 'city', ""'s"", 'hidden', 'gem']"
" New year, new fitness goals! 💪                    ",Positive, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18,"['new', 'year', ',', 'new', 'fitness', 'goals', '!', '💪']","['new', 'year', ',', 'new', 'fitness', 'goals', '!', '💪']","['new', 'year', ',', 'new', 'fitness', 'goal', '!', '💪']","['new', 'year', 'new', 'fitness', 'goal']"
 Technology is changing the way we live.            ,Neutral, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9,"['technology', 'is', 'changing', 'the', 'way', 'we', 'live', '.']","['technology', 'changing', 'way', 'live', '.']","['technology', 'change', 'way', 'live', '.']","['technology', 'change', 'way', 'live']"
 Reflecting on the past and looking ahead.          ,Positive, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13,"['reflecting', 'on', 'the', 'past', 'and', 'looking', 'ahead', '.']","['reflecting', 'past', 'looking', 'ahead', '.']","['reflect', 'past', 'look', 'ahead', '.']","['reflect', 'past', 'look', 'ahead']"
 Just adopted a cute furry friend! 🐾              ,Positive, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17,"['just', 'adopted', 'a', 'cute', 'furry', 'friend', '!', '🐾']","['adopted', 'cute', 'furry', 'friend', '!', '🐾']","['adopt', 'cute', 'furry', 'friend', '!', '🐾']","['adopt', 'cut', 'furry', 'friend']"
 Late-night gaming session with friends.            ,Positive, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0,"['late-night', 'gaming', 'session', 'with', 'friends', '.']","['late-night', 'gaming', 'session', 'friends', '.']","['late-night', 'game', 'session', 'friend', '.']","['late-night', 'game', 'session', 'friend']"
 Attending a virtual conference on AI.              ,Neutral, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,"['attending', 'a', 'virtual', 'conference', 'on', 'ai', '.']","['attending', 'virtual', 'conference', 'ai', '.']","['attend', 'virtual', 'conference', 'ai', '.']","['attend', 'virtual', 'conference', 'ai']"
 Winter blues got me feeling low.                   ,Negative, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15,"['winter', 'blues', 'got', 'me', 'feeling', 'low', '.']","['winter', 'blues', 'got', 'feeling', 'low', '.']","['winter', 'blue', 'get', 'feel', 'low', '.']","['winter', 'blue', 'get', 'feel', 'low']"
 Sipping coffee and enjoying a good book.           ,Positive, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8,"['sipping', 'coffee', 'and', 'enjoying', 'a', 'good', 'book', '.']","['sipping', 'coffee', 'enjoying', 'good', 'book', '.']","['sip', 'coffee', 'enjoy', 'good', 'book', '.']","['sip', 'coffee', 'enjoy', 'good', 'book']"
 Exploring the world of virtual reality.            ,Positive, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,"['exploring', 'the', 'world', 'of', 'virtual', 'reality', '.']","['exploring', 'world', 'virtual', 'reality', '.']","['explore', 'world', 'virtual', 'reality', '.']","['explore', 'world', 'virtual', 'reality']"
 Productive day ticking off my to-do list.          ,Positive, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16,"['productive', 'day', 'ticking', 'off', 'my', 'to-do', 'list', '.']","['productive', 'day', 'ticking', 'to-do', 'list', '.']","['productive', 'day', 'tick', 'to-do', 'list', '.']","['productive', 'day', 'tick', 'to-do', 'list']"
 Just finished a challenging workout routine.       ,Positive, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9,"['just', 'finished', 'a', 'challenging', 'workout', 'routine', '.']","['finished', 'challenging', 'workout', 'routine', '.']","['finish', 'challenge', 'workout', 'routine', '.']","['finish', 'challenge', 'lookout', 'routine']"
 Celebrating a milestone at work! 🎉               ,Positive, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14,"['celebrating', 'a', 'milestone', 'at', 'work', '!', '🎉']","['celebrating', 'milestone', 'work', '!', '🎉']","['celebrate', 'milestone', 'work', '!', '🎉']","['celebrate', 'limestone', 'work']"
 Sunday brunch with friends.                        ,Positive, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12,"['sunday', 'brunch', 'with', 'friends', '.']","['sunday', 'brunch', 'friends', '.']","['sunday', 'brunch', 'friend', '.']","['sunday', 'branch', 'friend']"
 Learning a new language for personal growth.       ,Positive, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16,"['learning', 'a', 'new', 'language', 'for', 'personal', 'growth', '.']","['learning', 'new', 'language', 'personal', 'growth', '.']","['learn', 'new', 'language', 'personal', 'growth', '.']","['learn', 'new', 'language', 'personal', 'growth']"
 Quiet evening with a good book.                    ,Positive, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19,"['quiet', 'evening', 'with', 'a', 'good', 'book', '.']","['quiet', 'evening', 'good', 'book', '.']","['quiet', 'even', 'good', 'book', '.']","['quiet', 'even', 'good', 'book']"
 Reflecting on the importance of mental health.     ,Positive, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11,"['reflecting', 'on', 'the', 'importance', 'of', 'mental', 'health', '.']","['reflecting', 'importance', 'mental', 'health', '.']","['reflect', 'importance', 'mental', 'health', '.']","['reflect', 'importance', 'mental', 'health']"
 New painting in progress! 🎨                       ,Positive, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15,"['new', 'painting', 'in', 'progress', '!', '🎨']","['new', 'painting', 'progress', '!', '🎨']","['new', 'painting', 'progress', '!', '🎨']","['new', 'painting', 'progress']"
 Weekend road trip to explore scenic views.         ,Positive, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17,"['weekend', 'road', 'trip', 'to', 'explore', 'scenic', 'views', '.']","['weekend', 'road', 'trip', 'explore', 'scenic', 'views', '.']","['weekend', 'road', 'trip', 'explore', 'scenic', 'view', '.']","['weekend', 'road', 'trip', 'explore', 'scene', 'view']"
 Enjoying a cup of tea and watching the sunset.     ,Positive, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18,"['enjoying', 'a', 'cup', 'of', 'tea', 'and', 'watching', 'the', 'sunset', '.']","['enjoying', 'cup', 'tea', 'watching', 'sunset', '.']","['enjoy', 'cup', 'tea', 'watch', 'sunset', '.']","['enjoy', 'cup', 'tea', 'watch', 'sunset']"
 Coding a new project with enthusiasm.              ,Positive, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13,"['coding', 'a', 'new', 'project', 'with', 'enthusiasm', '.']","['coding', 'new', 'project', 'enthusiasm', '.']","['cod', 'new', 'project', 'enthusiasm', '.']","['cod', 'new', 'project', 'enthusiasm']"
 Feeling inspired after attending a workshop.       ,Positive, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,"['feeling', 'inspired', 'after', 'attending', 'a', 'workshop', '.']","['feeling', 'inspired', 'attending', 'workshop', '.']","['feel', 'inspire', 'attend', 'workshop', '.']","['feel', 'inspire', 'attend', 'workshop']"
 Winter sports day at the local park.               ,Positive, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14,"['winter', 'sports', 'day', 'at', 'the', 'local', 'park', '.']","['winter', 'sports', 'day', 'local', 'park', '.']","['winter', 'sport', 'day', 'local', 'park', '.']","['winter', 'sport', 'day', 'local', 'park']"
 Quality time with family this weekend.             ,Positive, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17,"['quality', 'time', 'with', 'family', 'this', 'weekend', '.']","['quality', 'time', 'family', 'weekend', '.']","['quality', 'time', 'family', 'weekend', '.']","['quality', 'time', 'family', 'weekend']"
 Attending a live music concert tonight.            ,Positive, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20,"['attending', 'a', 'live', 'music', 'concert', 'tonight', '.']","['attending', 'live', 'music', 'concert', 'tonight', '.']","['attend', 'live', 'music', 'concert', 'tonight', '.']","['attend', 'live', 'music', 'concert', 'tonight']"
 Practicing mindfulness with meditation.            ,Positive, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12,"['practicing', 'mindfulness', 'with', 'meditation', '.']","['practicing', 'mindfulness', 'meditation', '.']","['practice', 'mindfulness', 'meditation', '.']","['practice', 'sinfulness', 'meditation']"
 Trying out a new dessert recipe.                   ,Positive, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16,"['trying', 'out', 'a', 'new', 'dessert', 'recipe', '.']","['trying', 'new', 'dessert', 'recipe', '.']","['try', 'new', 'dessert', 'recipe', '.']","['try', 'new', 'dessert', 'recipe']"
 Excited about the upcoming gaming tournament.      ,Positive, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,"['excited', 'about', 'the', 'upcoming', 'gaming', 'tournament', '.']","['excited', 'upcoming', 'gaming', 'tournament', '.']","['excite', 'upcoming', 'game', 'tournament', '.']","['excite', 'coming', 'game', 'tournament']"
 Planning a garden makeover for spring.             ,Positive, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14,"['planning', 'a', 'garden', 'makeover', 'for', 'spring', '.']","['planning', 'garden', 'makeover', 'spring', '.']","['planning', 'garden', 'makeover', 'spring', '.']","['planning', 'garden', 'takeover', 'spring']"
 Celebrating a friend's birthday tonight! 🎂       ,Positive, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19,"['celebrating', 'a', 'friend', ""'s"", 'birthday', 'tonight', '!', '🎂']","['celebrating', 'friend', ""'s"", 'birthday', 'tonight', '!', '🎂']","['celebrate', 'friend', ""'s"", 'birthday', 'tonight', '!', '🎂']","['celebrate', 'friend', ""'s"", 'birthday', 'tonight']"
 Feeling accomplished after a productive day.       ,Positive, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17,"['feeling', 'accomplished', 'after', 'a', 'productive', 'day', '.']","['feeling', 'accomplished', 'productive', 'day', '.']","['feel', 'accomplish', 'productive', 'day', '.']","['feel', 'accomplish', 'productive', 'day']"
 A cozy evening with a good movie.                 ,Positive, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20,"['a', 'cozy', 'evening', 'with', 'a', 'good', 'movie', '.']","['cozy', 'evening', 'good', 'movie', '.']","['cozy', 'even', 'good', 'movie', '.']","['copy', 'even', 'good', 'movie']"
 Exploring local art galleries this weekend.        ,Positive, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11,"['exploring', 'local', 'art', 'galleries', 'this', 'weekend', '.']","['exploring', 'local', 'art', 'galleries', 'weekend', '.']","['explore', 'local', 'art', 'gallery', 'weekend', '.']","['explore', 'local', 'art', 'gallery', 'weekend']"
 New book release from my favorite author!          ,Positive, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15,"['new', 'book', 'release', 'from', 'my', 'favorite', 'author', '!']","['new', 'book', 'release', 'favorite', 'author', '!']","['new', 'book', 'release', 'favorite', 'author', '!']","['new', 'book', 'release', 'favorite', 'author']"
 Attending a virtual reality meetup.                ,Positive, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18,"['attending', 'a', 'virtual', 'reality', 'meetup', '.']","['attending', 'virtual', 'reality', 'meetup', '.']","['attend', 'virtual', 'reality', 'meetup', '.']","['attend', 'virtual', 'reality', 'meet']"
 Reflecting on the beauty of nature.                ,Positive, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10,"['reflecting', 'on', 'the', 'beauty', 'of', 'nature', '.']","['reflecting', 'beauty', 'nature', '.']","['reflect', 'beauty', 'nature', '.']","['reflect', 'beauty', 'nature']"
 Cooking a special dinner for loved ones.           ,Positive, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19,"['cooking', 'a', 'special', 'dinner', 'for', 'loved', 'ones', '.']","['cooking', 'special', 'dinner', 'loved', 'ones', '.']","['cooking', 'special', 'dinner', 'love', 'one', '.']","['cooking', 'special', 'dinner', 'love', 'one']"
 Feeling optimistic about the week ahead.           ,Positive, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16,"['feeling', 'optimistic', 'about', 'the', 'week', 'ahead', '.']","['feeling', 'optimistic', 'week', 'ahead', '.']","['feel', 'optimistic', 'week', 'ahead', '.']","['feel', 'optimistic', 'week', 'ahead']"
 Starting a new fitness challenge tomorrow! 💪     ,Positive, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8,"['starting', 'a', 'new', 'fitness', 'challenge', 'tomorrow', '!', '💪']","['starting', 'new', 'fitness', 'challenge', 'tomorrow', '!', '💪']","['start', 'new', 'fitness', 'challenge', 'tomorrow', '!', '💪']","['start', 'new', 'fitness', 'challenge', 'tomorrow']"
 Sunday bike ride through scenic trails.           ,Positive, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13,"['sunday', 'bike', 'ride', 'through', 'scenic', 'trails', '.']","['sunday', 'bike', 'ride', 'scenic', 'trails', '.']","['sunday', 'bike', 'ride', 'scenic', 'trail', '.']","['sunday', 'bike', 'ride', 'scene', 'trail']"
 Can't believe the injustice happening in our society.,Negative, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9,"['ca', ""n't"", 'believe', 'the', 'injustice', 'happening', 'in', 'our', 'society', '.']","['ca', ""n't"", 'believe', 'injustice', 'happening', 'society', '.']","['ca', ""n't"", 'believe', 'injustice', 'happen', 'society', '.']","['ca', ""n't"", 'believe', 'injustice', 'happen', 'society']"
 Feeling a sense of fear after watching a thriller movie. ,Negative, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21,"['feeling', 'a', 'sense', 'of', 'fear', 'after', 'watching', 'a', 'thriller', 'movie', '.']","['feeling', 'sense', 'fear', 'watching', 'thriller', 'movie', '.']","['feel', 'sense', 'fear', 'watch', 'thriller', 'movie', '.']","['feel', 'sense', 'fear', 'watch', 'thrilled', 'movie']"
 Heartbroken after hearing the news about a natural disaster. ,Negative, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14,"['heartbroken', 'after', 'hearing', 'the', 'news', 'about', 'a', 'natural', 'disaster', '.']","['heartbroken', 'hearing', 'news', 'natural', 'disaster', '.']","['heartbroken', 'hearing', 'news', 'natural', 'disaster', '.']","['heartbroken', 'hearing', 'news', 'natural', 'disaster']"
 The state of the world's environment is just disgusting. ,Negative, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18,"['the', 'state', 'of', 'the', 'world', ""'s"", 'environment', 'is', 'just', 'disgusting', '.']","['state', 'world', ""'s"", 'environment', 'disgusting', '.']","['state', 'world', ""'s"", 'environment', 'disgust', '.']","['state', 'world', ""'s"", 'environment', 'disgust']"
 Pure happiness: celebrating a loved one's achievement! ,Positive, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10,"['pure', 'happiness', ':', 'celebrating', 'a', 'loved', 'one', ""'s"", 'achievement', '!']","['pure', 'happiness', ':', 'celebrating', 'loved', 'one', ""'s"", 'achievement', '!']","['pure', 'happiness', ':', 'celebrate', 'love', 'one', ""'s"", 'achievement', '!']","['pure', 'happiness', 'celebrate', 'love', 'one', ""'s"", 'achievement']"
 Laughter is the best medicine—enjoying a comedy show. ,Positive, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19,"['laughter', 'is', 'the', 'best', 'medicine—enjoying', 'a', 'comedy', 'show', '.']","['laughter', 'best', 'medicine—enjoying', 'comedy', 'show', '.']","['laughter', 'best', 'medicine—enjoying', 'comedy', 'show', '.']","['laughter', 'best', 'medicine—enjoying', 'comedy', 'show']"
 Sharing love and positive vibes with everyone! ❤️      ,Positive, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8,"['sharing', 'love', 'and', 'positive', 'vibes', 'with', 'everyone', '!', '❤️']","['sharing', 'love', 'positive', 'vibes', 'everyone', '!', '❤️']","['share', 'love', 'positive', 'vibe', 'everyone', '!', '❤️']","['share', 'love', 'positive', 'vice', 'everyone']"
 An amusing incident brightened up my day!               ,Positive, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14,"['an', 'amusing', 'incident', 'brightened', 'up', 'my', 'day', '!']","['amusing', 'incident', 'brightened', 'day', '!']","['amuse', 'incident', 'brighten', 'day', '!']","['amuse', 'incident', 'brighten', 'day']"
 Enjoying a quiet evening with a book and some tea.      ,Positive, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19,"['enjoying', 'a', 'quiet', 'evening', 'with', 'a', 'book', 'and', 'some', 'tea', '.']","['enjoying', 'quiet', 'evening', 'book', 'tea', '.']","['enjoy', 'quiet', 'even', 'book', 'tea', '.']","['enjoy', 'quiet', 'even', 'book', 'tea']"
 Admiring the beauty of nature during a peaceful hike.   ,Positive, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11,"['admiring', 'the', 'beauty', 'of', 'nature', 'during', 'a', 'peaceful', 'hike', '.']","['admiring', 'beauty', 'nature', 'peaceful', 'hike', '.']","['admire', 'beauty', 'nature', 'peaceful', 'hike', '.']","['admire', 'beauty', 'nature', 'peaceful', 'like']"
 Sending affectionate vibes to all my followers!          ,Positive, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,"['sending', 'affectionate', 'vibes', 'to', 'all', 'my', 'followers', '!']","['sending', 'affectionate', 'vibes', 'followers', '!']","['send', 'affectionate', 'vibe', 'follower', '!']","['send', 'affectionate', 'vice', 'follower']"
 Experiencing awe at the breathtaking sunset.            ,Neutral, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20,"['experiencing', 'awe', 'at', 'the', 'breathtaking', 'sunset', '.']","['experiencing', 'awe', 'breathtaking', 'sunset', '.']","['experience', 'awe', 'breathtaking', 'sunset', '.']","['experience', 'awe', 'breathtaking', 'sunset']"
 Disappointed with the service at a local restaurant.    ,Negative, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9,"['disappointed', 'with', 'the', 'service', 'at', 'a', 'local', 'restaurant', '.']","['disappointed', 'service', 'local', 'restaurant', '.']","['disappointed', 'service', 'local', 'restaurant', '.']","['disappointed', 'service', 'local', 'restaurant']"
 A surprise gift from a friend made my day!              ,Positive, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14,"['a', 'surprise', 'gift', 'from', 'a', 'friend', 'made', 'my', 'day', '!']","['surprise', 'gift', 'friend', 'made', 'day', '!']","['surprise', 'gift', 'friend', 'make', 'day', '!']","['surprise', 'gift', 'friend', 'make', 'day']"
 Finding acceptance in the midst of life's challenges.   ,Positive, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18,"['finding', 'acceptance', 'in', 'the', 'midst', 'of', 'life', ""'s"", 'challenges', '.']","['finding', 'acceptance', 'midst', 'life', ""'s"", 'challenges', '.']","['find', 'acceptance', 'midst', 'life', ""'s"", 'challenge', '.']","['find', 'acceptance', 'midst', 'life', ""'s"", 'challenge']"
 Overflowing with adoration for my adorable pet! 🐾      ,Positive, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10,"['overflowing', 'with', 'adoration', 'for', 'my', 'adorable', 'pet', '!', '🐾']","['overflowing', 'adoration', 'adorable', 'pet', '!', '🐾']","['overflow', 'adoration', 'adorable', 'pet', '!', '🐾']","['overflow', 'adoration', 'adorable', 'pet']"
 Anticipating a thrilling adventure in the coming weeks. ,Positive, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,"['anticipating', 'a', 'thrilling', 'adventure', 'in', 'the', 'coming', 'weeks', '.']","['anticipating', 'thrilling', 'adventure', 'coming', 'weeks', '.']","['anticipate', 'thrill', 'adventure', 'come', 'week', '.']","['anticipate', 'thrill', 'adventure', 'come', 'week']"
 A bitter experience turned into a valuable lesson.      ,Negative, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15,"['a', 'bitter', 'experience', 'turned', 'into', 'a', 'valuable', 'lesson', '.']","['bitter', 'experience', 'turned', 'valuable', 'lesson', '.']","['bitter', 'experience', 'turn', 'valuable', 'lesson', '.']","['bitter', 'experience', 'turn', 'valuable', 'lesson']"
 Finding calmness in the midst of a busy day.            ,Positive, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9,"['finding', 'calmness', 'in', 'the', 'midst', 'of', 'a', 'busy', 'day', '.']","['finding', 'calmness', 'midst', 'busy', 'day', '.']","['find', 'calmness', 'midst', 'busy', 'day', '.']","['find', 'calmness', 'midst', 'busy', 'day']"
 Confusion clouds my mind as I navigate through decisions.,Negative, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14,"['confusion', 'clouds', 'my', 'mind', 'as', 'i', 'navigate', 'through', 'decisions', '.']","['confusion', 'clouds', 'mind', 'navigate', 'decisions', '.']","['confusion', 'cloud', 'mind', 'navigate', 'decision', '.']","['confusion', 'cloud', 'mind', 'navigable', 'decision']"
